"solution","x","y","prob_SC","prob_PF","prob_HN"
"NL",0,-0.5,-21,-11,-6
"MV",0,-0.5,4,9,6
"NL",2,-0.5,-15,-11,-16
"MV",2,-0.5,-4,6,-6
"NL",4,-0.5,-6,-5,-6
"MV",4,-0.5,0,0,0
"NL",6,-0.5,-8,-16,-4
"MV",6,-0.5,-4,3,0
"NL",8,-0.5,-14,-13,4
"MV",8,-0.5,4,-2,4
"NL",10,-0.5,-11,-17,-14
"MV",10,-0.5,-1,-9,-4
"NL",12,-0.5,-16,-13,-8
"MV",12,-0.5,-16,-12,-12
"NL",14,-0.5,-10,-10,-14
"MV",14,-0.5,-10,-14,-12
"NL",16,-0.5,-6,10,-6
"MV",16,-0.5,-5,2,-6
"NL",18,-0.5,7,13,-2
"MV",18,-0.5,2,13,-4
"NL",3,0,-8,-18,-12
"MV",3,0,0,0,0
"NL",9,0,-10,-5,6
"MV",9,0,8,6,6
"NL",15,0,5,11,-10
"MV",15,0,2,-2,-4
"NL",4,0.5,-12,-12,-4
"MV",4,0.5,-4,-5,6
"NL",10,0.5,-4,-8,-2
"MV",10,0.5,3,-1,-2
"NL",16,0.5,8,19,-10
"MV",16,0.5,0,6,-6
"NL",1,1,-17,3,-10
"MV",1,1,-8,1,0
"NL",3,1,-4,-27,-14
"MV",3,1,8,-1,0
"NL",5,1,-14,-13,-4
"MV",5,1,-3,-8,0
"NL",7,1,-6,-9,-2
"MV",7,1,-2,-1,0
"NL",9,1,8,6,6
"MV",9,1,16,22,10
"NL",11,1,4,-3,0
"MV",11,1,-3,1,2
"NL",13,1,3,-12,0
"MV",13,1,-7,-19,-6
"NL",15,1,9,22,-8
"MV",15,1,2,6,-10
"NL",17,1,-3,11,-6
"MV",17,1,-3,11,-6
"NL",19,1,-18,2,-26
"MV",19,1,-15,13,-18
"NL",0,1.5,-19,2,-14
"MV",0,1.5,-8,1,0
"NL",2,1.5,-4,-13,8
"MV",2,1.5,8,-1,0
"NL",4,1.5,-13,-17,-12
"MV",4,1.5,4,-6,6
"NL",6,1.5,-14,-12,0
"MV",6,1.5,-7,-5,0
"NL",8,1.5,4,9,6
"MV",8,1.5,8,17,8
"NL",10,1.5,10,6,-2
"MV",10,1.5,10,6,-2
"NL",12,1.5,-2,-9,-14
"MV",12,1.5,-12,-14,-8
"NL",14,1.5,-7,-1,8
"MV",14,1.5,-14,-9,0
"NL",16,1.5,-5,12,0
"MV",16,1.5,-4,9,-6
"NL",18,1.5,3,10,-7
"MV",18,1.5,2,13,-1
"NL",0,2.5,-5,-1,6
"MV",0,2.5,0,0,0
"NL",6,2.5,-15,-21,-4
"MV",6,2.5,-3,3,2
"NL",12,2.5,-12,7,-8
"MV",12,2.5,-12,-3,-6
"NL",18,2.5,-2,14,6
"MV",18,2.5,2,11,6
"NL",1,3,10,-11,-2
"MV",1,3,4,-6,6
"NL",3,3,-12,-16,-16
"MV",3,3,-4,-9,-6
"NL",5,3,-13,-20,0
"MV",5,3,5,2,2
"NL",7,3,9,14,2
"MV",7,3,9,14,2
"NL",9,3,24,18,18
"MV",9,3,24,18,18
"NL",11,3,-2,11,10
"MV",11,3,1,10,8
"NL",13,3,-14,-6,-14
"MV",13,3,-10,-8,-10
"NL",15,3,-5,-9,-16
"MV",15,3,-8,-7,-10
"NL",17,3,4,-4,-1
"MV",17,3,4,-4,-1
"NL",19,3,0,1,11
"MV",19,3,-1,2,5
"NL",0,3.5,-10,-6,-2
"MV",0,3.5,-4,-5,6
"NL",2,3.5,-6,-5,-9
"MV",2,3.5,-4,-8,-5
"NL",4,3.5,-23,-18,-11
"MV",4,3.5,-4,3,-3
"NL",6,3.5,-7,-15,2
"MV",6,3.5,1,1,6
"NL",8,3.5,15,14,10
"MV",8,3.5,15,14,10
"NL",10,3.5,11,6,8
"MV",10,3.5,11,6,8
"NL",12,3.5,-14,-15,-8
"MV",12,3.5,-7,-8,-8
"NL",14,3.5,-19,-8,-2
"MV",14,3.5,-15,-10,2
"NL",16,3.5,-10,2,-16
"MV",16,3.5,-9,1,-10
"NL",18,3.5,1,-2,5
"MV",18,3.5,0,-1,-1
"NL",1,4,8,-2,-4
"MV",1,4,5,-9,0
"NL",7,4,13,12,6
"MV",7,4,13,12,6
"NL",13,4,-14,-23,-2
"MV",13,4,-7,-16,-2
"NL",19,4,-4,-7,-20
"MV",19,4,-7,-6,-18
"NL",1,5,-7,-4,8
"MV",1,5,-3,3,2
"NL",3,5,5,-9,0
"MV",3,5,9,0,6
"NL",5,5,-2,-8,10
"MV",5,5,5,-1,10
"NL",7,5,13,23,8
"MV",7,5,13,23,8
"NL",9,5,21,18,12
"MV",9,5,21,18,12
"NL",11,5,6,16,8
"MV",11,5,6,16,8
"NL",13,5,9,-11,4
"MV",13,5,13,-3,6
"NL",15,5,-5,-5,1
"MV",15,5,2,2,1
"NL",17,5,12,7,2
"MV",17,5,12,7,2
"NL",19,5,1,15,-14
"MV",19,5,-3,7,-16
"NL",0,5.5,-7,4,2
"MV",0,5.5,-3,0,-6
"NL",2,5.5,0,-9,-2
"MV",2,5.5,1,1,6
"NL",4,5.5,-3,-7,4
"MV",4,5.5,5,-1,10
"NL",6,5.5,5,7,4
"MV",6,5.5,9,15,6
"NL",8,5.5,16,22,6
"MV",8,5.5,16,22,6
"NL",10,5.5,8,6,2
"MV",10,5.5,8,6,2
"NL",12,5.5,1,12,8
"MV",12,5.5,1,12,8
"NL",14,5.5,3,-11,-3
"MV",14,5.5,7,-3,-1
"NL",16,5.5,2,-8,3
"MV",16,5.5,6,0,5
"NL",18,5.5,0,11,2
"MV",18,5.5,-4,3,0
"NL",3,6,1,1,6
"MV",3,6,5,-1,10
"NL",9,6,13,5,16
"MV",9,6,13,5,16
"NL",15,6,8,-5,4
"MV",15,6,12,3,6
"NL",4,6.5,2,8,6
"MV",4,6.5,9,15,6
"NL",10,6.5,5,10,12
"MV",10,6.5,5,10,12
"NL",16,6.5,10,7,-1
"MV",16,6.5,10,7,-1
"NL",1,7,11,16,6
"MV",1,7,4,9,6
"NL",3,7,14,21,10
"MV",3,7,13,12,6
"NL",5,7,5,7,4
"MV",5,7,9,15,6
"NL",7,7,9,7,12
"MV",7,7,9,7,12
"NL",9,7,21,14,14
"MV",9,7,21,14,14
"NL",11,7,6,7,6
"MV",11,7,6,7,6
"NL",13,7,11,-3,10
"MV",13,7,11,-3,10
"NL",15,7,8,18,9
"MV",15,7,8,18,9
"NL",17,7,16,7,6
"MV",17,7,16,7,6
"NL",19,7,9,-7,2
"MV",19,7,9,-7,2
"NL",0,7.5,8,7,10
"MV",0,7.5,4,-2,4
"NL",2,7.5,18,23,6
"MV",2,7.5,11,16,6
"NL",4,7.5,4,10,10
"MV",4,7.5,4,10,10
"NL",6,7.5,5,-1,10
"MV",6,7.5,5,-1,10
"NL",8,7.5,20,15,8
"MV",8,7.5,20,15,8
"NL",10,7.5,20,26,10
"MV",10,7.5,20,26,10
"NL",12,7.5,-1,-7,16
"MV",12,7.5,-1,-7,16
"NL",14,7.5,6,3,16
"MV",14,7.5,6,3,16
"NL",16,7.5,17,15,2
"MV",16,7.5,17,15,2
"NL",18,7.5,4,0,4
"MV",18,7.5,4,0,4
"NL",0,8.5,8,18,12
"MV",0,8.5,7,7,0
"NL",6,8.5,-3,-7,4
"MV",6,8.5,-3,-7,4
"NL",12,8.5,6,18,8
"MV",12,8.5,6,18,8
"NL",18,8.5,6,14,-4
"MV",18,8.5,6,14,-4
"NL",1,9,15,14,10
"MV",1,9,7,7,0
"NL",3,9,16,12,12
"MV",3,9,5,-3,10
"NL",5,9,-2,-1,0
"MV",5,9,-2,-1,0
"NL",7,9,9,10,4
"MV",7,9,9,10,4
"NL",9,9,18,11,0
"MV",9,9,18,11,0
"NL",11,9,20,16,12
"MV",11,9,20,16,12
"NL",13,9,11,20,-4
"MV",13,9,11,20,-4
"NL",15,9,-1,-7,16
"MV",15,9,-1,-7,16
"NL",17,9,-1,0,6
"MV",17,9,-1,0,6
"NL",19,9,6,16,8
"MV",19,9,6,16,8
"NL",0,9.5,9,4,4
"MV",0,9.5,0,0,0
"NL",2,9.5,18,12,4
"MV",2,9.5,3,-1,-2
"NL",4,9.5,0,11,2
"MV",4,9.5,-4,3,0
"NL",6,9.5,-6,4,4
"MV",6,9.5,-6,4,4
"NL",8,9.5,10,6,-5
"MV",8,9.5,10,6,-5
"NL",10,9.5,19,13,19
"MV",10,9.5,19,13,19
"NL",12,9.5,13,14,6
"MV",12,9.5,13,14,6
"NL",14,9.5,6,18,8
"MV",14,9.5,6,18,8
"NL",16,9.5,10,-2,4
"MV",16,9.5,10,-2,4
"NL",18,9.5,-2,3,12
"MV",18,9.5,-2,3,12
"NL",1,10,12,25,10
"MV",1,10,1,9,4
"NL",7,10,9,-1,2
"MV",7,10,9,-1,2
"NL",13,10,13,14,6
"MV",13,10,13,14,6
"NL",19,10,5,-1,10
"MV",19,10,5,-1,10
"NL",1,11,8,27,6
"MV",1,11,-4,2,-4
"NL",3,11,12,13,4
"MV",3,11,5,6,4
"NL",5,11,4,-5,-12
"MV",5,11,4,-5,-12
"NL",7,11,-4,-5,6
"MV",7,11,-4,-5,6
"NL",9,11,16,16,8
"MV",9,11,16,16,8
"NL",11,11,11,17,10
"MV",11,11,11,17,10
"NL",13,11,13,5,16
"MV",13,11,13,5,16
"NL",15,11,12,15,9
"MV",15,11,12,15,9
"NL",17,11,8,7,7
"MV",17,11,8,7,7
"NL",19,11,8,8,6
"MV",19,11,8,8,6
"NL",0,11.5,4,7,-6
"MV",0,11.5,-12,-14,-8
"NL",2,11.5,15,12,2
"MV",2,11.5,3,-2,-6
"NL",4,11.5,2,12,2
"MV",4,11.5,-2,4,0
"NL",6,11.5,4,-3,0
"MV",6,11.5,4,-3,0
"NL",8,11.5,0,11,2
"MV",8,11.5,0,11,2
"NL",10,11.5,2,14,8
"MV",10,11.5,2,14,8
"NL",12,11.5,12,11,-4
"MV",12,11.5,12,11,-4
"NL",14,11.5,21,16,26
"MV",14,11.5,21,16,26
"NL",16,11.5,10,6,-2
"MV",16,11.5,10,6,-2
"NL",18,11.5,9,-10,8
"MV",18,11.5,9,-10,8
"NL",3,12,14,15,8
"MV",3,12,3,0,6
"NL",9,12,-4,8,-6
"MV",9,12,-4,8,-6
"NL",15,12,19,11,7
"MV",15,12,19,11,7
"NL",4,12.5,15,21,4
"MV",4,12.5,7,5,0
"NL",10,12.5,2,-2,3
"MV",10,12.5,2,-2,3
"NL",16,12.5,6,-1,-3
"MV",16,12.5,6,-1,-3
"NL",1,13,-4,-6,10
"MV",1,13,-8,-5,2
"NL",3,13,16,12,-8
"MV",3,13,2,-2,-8
"NL",5,13,11,13,2
"MV",5,13,7,5,0
"NL",7,13,3,8,0
"MV",7,13,3,8,0
"NL",9,13,5,-4,-3
"MV",9,13,5,-4,-3
"NL",11,13,-1,12,19
"MV",11,13,-1,12,19
"NL",13,13,16,21,2
"MV",13,13,16,21,2
"NL",15,13,23,3,4
"MV",15,13,23,3,4
"NL",17,13,-5,-3,8
"MV",17,13,-5,-3,8
"NL",19,13,-20,-20,6
"MV",19,13,-20,-20,6
"NL",0,13.5,-18,-11,0
"MV",0,13.5,-13,-12,-6
"NL",2,13.5,4,-4,4
"MV",2,13.5,-4,0,-4
"NL",4,13.5,5,14,-6
"MV",4,13.5,-6,-1,-8
"NL",6,13.5,11,13,2
"MV",6,13.5,7,5,0
"NL",8,13.5,-9,4,6
"MV",8,13.5,-9,4,6
"NL",10,13.5,10,10,14
"MV",10,13.5,10,10,14
"NL",12,13.5,0,6,-2
"MV",12,13.5,0,6,-2
"NL",14,13.5,12,5,6
"MV",14,13.5,12,5,6
"NL",16,13.5,2,-7,6
"MV",16,13.5,2,-7,6
"NL",18,13.5,-25,-18,-12
"MV",18,13.5,-25,-18,-12
"NL",0,14.5,-16,-12,-12
"MV",0,14.5,-9,-15,-6
"NL",6,14.5,-2,7,-6
"MV",6,14.5,-6,-1,-8
"NL",12,14.5,7,-3,2
"MV",12,14.5,7,-3,2
"NL",18,14.5,-22,-31,-20
"MV",18,14.5,-22,-31,-20
"NL",1,15,-8,-10,-18
"MV",1,15,-5,-10,-12
"NL",3,15,-4,2,-1
"MV",3,15,-4,1,-5
"NL",5,15,0,-1,-1
"MV",5,15,-3,0,1
"NL",7,15,-2,-10,-10
"MV",7,15,-2,-10,-10
"NL",9,15,-6,-1,-11
"MV",9,15,-6,-1,-11
"NL",11,15,-2,-3,-7
"MV",11,15,-2,-3,-7
"NL",13,15,-4,5,12
"MV",13,15,-4,5,12
"NL",15,15,-6,-2,-12
"MV",15,15,-6,-2,-12
"NL",17,15,-22,-29,-8
"MV",17,15,-22,-29,-8
"NL",19,15,-15,-34,-14
"MV",19,15,-15,-34,-14
"NL",0,15.5,-13,-31,-2
"MV",0,15.5,-10,-12,0
"NL",2,15.5,-12,-1,-16
"MV",2,15.5,-9,-1,-10
"NL",4,15.5,1,9,4
"MV",4,15.5,-4,2,-4
"NL",6,15.5,-12,1,-4
"MV",6,15.5,-12,1,-4
"NL",8,15.5,3,-7,0
"MV",8,15.5,3,-7,0
"NL",10,15.5,-7,-1,-18
"MV",10,15.5,-7,-1,-18
"NL",12,15.5,8,-10,10
"MV",12,15.5,8,-10,10
"NL",14,15.5,-7,1,-6
"MV",14,15.5,-7,1,-6
"NL",16,15.5,-15,-25,-16
"MV",16,15.5,-15,-25,-16
"NL",18,15.5,-16,-25,0
"MV",18,15.5,-16,-25,0
"NL",1,16,-10,-14,-12
"MV",1,16,-2,1,-4
"NL",7,16,-12,-13,0
"MV",7,16,-12,-13,0
"NL",13,16,-8,-4,6
"MV",13,16,-8,-4,6
"NL",19,16,-9,-28,6
"MV",19,16,-9,-28,6
"NL",1,17,-10,-5,-10
"MV",1,17,5,5,-12
"NL",3,17,-14,-16,-4
"MV",3,17,-6,0,0
"NL",5,17,-10,1,-12
"MV",5,17,-10,1,-12
"NL",7,17,-11,-16,-6
"MV",7,17,-11,-16,-6
"NL",9,17,-4,-13,-4
"MV",9,17,-4,-13,-4
"NL",11,17,-4,-11,8
"MV",11,17,-4,-11,8
"NL",13,17,-16,-16,-8
"MV",13,17,-16,-16,-8
"NL",15,17,-11,-13,5
"MV",15,17,-11,-13,5
"NL",17,17,-22,-13,-11
"MV",17,17,-22,-13,-11
"NL",19,17,-8,-7,-21
"MV",19,17,-8,-7,-21
"NL",0,17.5,-7,-7,-16
"MV",0,17.5,-7,1,-6
"NL",2,17.5,-8,-10,-6
"MV",2,17.5,6,4,-6
"NL",4,17.5,-9,-9,4
"MV",4,17.5,-5,-1,6
"NL",6,17.5,-5,0,-18
"MV",6,17.5,-5,0,-18
"NL",8,17.5,-15,-21,0
"MV",8,17.5,-15,-21,0
"NL",10,17.5,-8,-21,-6
"MV",10,17.5,-8,-21,-6
"NL",12,17.5,-12,-25,-10
"MV",12,17.5,-12,-25,-10
"NL",14,17.5,-11,-7,-13
"MV",14,17.5,-11,-7,-13
"NL",16,17.5,0,-17,3
"MV",16,17.5,0,-17,3
"NL",18,17.5,-12,-2,-28
"MV",18,17.5,-12,-2,-28
"NL",3,18,-6,-9,-10
"MV",3,18,5,6,-8
"NL",9,18,-11,-15,-10
"MV",9,18,-11,-15,-10
"NL",15,18,-4,2,-4
"MV",15,18,-4,2,-4
"NL",4,18.5,-5,-7,4
"MV",4,18.5,2,0,4
"NL",10,18.5,-15,-23,-12
"MV",10,18.5,-15,-23,-12
"NL",16,18.5,6,-3,-1
"MV",16,18.5,6,-3,-1
"NL",1,19,-12,-16,-13
"MV",1,19,0,-1,-1
"NL",3,19,-6,-8,-14
"MV",3,19,6,6,-6
"NL",5,19,-8,-15,4
"MV",5,19,-1,-8,4
"NL",7,19,-10,-16,4
"MV",7,19,-10,-16,4
"NL",9,19,-12,-5,-18
"MV",9,19,-12,-5,-18
"NL",11,19,-18,-12,-4
"MV",11,19,-18,-12,-4
"NL",13,19,-23,-3,-4
"MV",13,19,-23,-3,-4
"NL",15,19,11,2,-5
"MV",15,19,11,2,-5
"NL",17,19,9,15,-3
"MV",17,19,9,15,-3
"NL",19,19,-1,-14,4
"MV",19,19,-1,-14,4
